id;start_date;end_date;language
1;2019-08-25T10:11:29;2019-08-25T03:19:46;ENGLISH
2;2019-08-25T11:41:34;2019-08-24T20:47:44;ENGLISH
3;2019-08-25T07:13:39;2019-08-24T22:37:39;FRENCH
4;2019-08-24T20:25:30;2019-08-25T03:52:32;SPANISH
5;2019-08-25T05:24:09;2019-08-25T10:08:18;ENGLISH
6;2019-08-25T11:41:10;2019-08-25T12:58:06;FRENCH
7;2019-08-24T21:03:30;2019-08-25T09:44:16;FRENCH
8;2019-08-24T18:34:48;2019-08-25T02:34:57;ENGLISH
9;2019-08-25T04:22:54;2019-08-25T12:47:33;ENGLISH
10;2019-08-25T07:41:04;2019-08-25T04:57:19;SPANISH
